⺀	(⺀,Cd,,部首補充)
蛊	(虫皿,HkYz,gǔ,基本区)
蛋	(疋虫,IfHk,dàn,基本区)
蛌	(虫瓜,HkVw,tún,基本区)
蛍	(虫,JpHk,yíng,基本区)
蛎	(虫厂万,HkLsAi,lì,基本区)
蛏	(虫又土,HkZnCk,chēng,基本区)
蛐	(虫曲,HkNe,qū,基本区)
蛑	(虫厶牛,HkFiRs,móu,基本区)
蛒	(虫各,HkXc,gé_luò,基本区)
蛓	(虫,RhHk,cì,基本区)
蛔	(虫囗口,HkXtPr,huí,基本区)
蛕	(虫,HkEoHz,huí,基本区)
蛖	(虫龙,HkTlCd,bàng_máng,基本区)
蛗	(虫,UvHk,fù,基本区)
蛘	(虫羊,HkAs,yáng,基本区)
蛙	(虫圭,HkKa,wā,基本区)
蛚	(虫歹刂,HkNrRj,liè,基本区)
蛛	(虫丿未,HkLbEt,zhū,基本区)
蛜	(虫亻尹,HkIuWn,yī,基本区)
蛝	(虫艮,HkIx,xián,基本区)
蛞	(虫舌,HkJi,kuò,基本区)
蛟	(虫交,HkWa,jiāo,基本区)
蛠	(虫力力力,HkSoSoSo,lì,基本区)
蛡	(虫羽,HkQu,xǔ_yì,基本区)
蛢	(虫丷开,HkHdCm,píng,基本区)
蛣	(虫士口,HkNxPr,jié,基本区)
蛤	(虫合,HkNv,gé_há,基本区)
蛥	(虫多,HkDs,shé,基本区)
蛦	(虫弓,HkNfDz,yí,基本区)
蛧	(虫冂,HkOdIq,wǎng,基本区)
蛨	(虫百,HkPi,mò,基本区)
蛩	(工凡虫,IvIdHk,qióng,基本区)
蛪	(丰刀虫,BpJzHk,ní_qiè,基本区)
蛫	(虫厂㔾,HkNaLsJf,guǐ,基本区)
蛬	(共虫,LiHk,qióng,基本区)
蛭	(虫至,HkRn,zhì,基本区)
蛮	(虫,VaHk,mán,基本区)
蛯	(虫老,HkPf,lǎo,基本区)
蛰	(执虫,OrHk,zhé,基本区)
蛱	(虫夹,HkOz,jiá,基本区)
蛲	(虫兀,HkGwSe,náo,基本区)
蛳	(虫一巾,HkRjFkSu,sī,基本区)
蛴	(虫齐,HkEy,qí,基本区)
蛵	(虫一巛工,HkFkPvIv,xíng,基本区)
蛶	(虫爫寸,HkChOf,jiè,基本区)
蛷	(虫求,HkVu,qiú,基本区)
蛸	(虫肖,HkUg,shāo_xiāo,基本区)
蛹	(虫甬,HkXd,yǒng,基本区)
蛺	(虫大从,HkNfLc,jiá,基本区)
蛻	(虫八兄,HkAySg,tuì,基本区)
蛼	(虫車,HkBm,chē,基本区)
蛽	(虫貝,HkMl,bèi,基本区)
蛾	(虫我,HkWj,é_yǐ,基本区)
蛿	(虫今口,HkGdPr,hàn,基本区)
蜀	(罒勹虫,DdKlHk,shǔ,基本区)
蜁	(虫疋,HkNcIf,xuán,基本区)
蜂	(虫夂丰,HkSpBp,fēng,基本区)
蜃	(辰虫,PjHk,shèn,基本区)
蜄	(虫辰,HkPj,shèn,基本区)
蜅	(虫甫,HkAh,fǔ,基本区)
蜆	(虫見,HkIu,xiǎn,基本区)
蜇	(扌斤虫,VlTnHk,zhé_zhē,基本区)
蜈	(虫口天,HkPrAk,wú,基本区)
蜉	(虫爫子,HkChLg,fú,基本区)
蜊	(虫禾刂,HkTuRj,lí_lì,基本区)
蜋	(虫丶艮,HkMsIx,láng,基本区)
蜌	(虫比土,HkLqCk,bì,基本区)
蜍	(虫,HkGoTu,chú,基本区)
蜎	(虫口,HkPrHz,yuān,基本区)
蜏	(虫禾乃,HkTuSn,yǒu,基本区)
蜐	(虫去力,HkGkSo,jié,基本区)
蜑	(廴虫,IfTkHk,dàn,基本区)
蜒	(虫廴,HkIfTk,yán,基本区)
蜓	(虫壬廴,HkFuTk,tíng,基本区)
蜔	(虫勹田,HkKlTy,diàn,基本区)
蜕	(虫丷兄,HkHdSg,tuì,基本区)
蜖	(虫罒二,HkDdHt,huí,基本区)
蜗	(虫呙,HkVa,wō,基本区)
蜘	(虫矢口,HkLvPr,zhī,基本区)
蜙	(虫木公,HkYqWh,sōng,基本区)
蜚	(非虫,YxHk,fěi_fēi,基本区)
蜛	(虫居,HkDl,jū,基本区)
蜜	(宀心丿虫,DxViLbHk,mì,基本区)
蜝	(其虫,KtHk,qí,基本区)
蜞	(虫其,HkKt,qí,基本区)
蜟	(虫,HkYvHz,yù,基本区)
蜠	(虫囗禾,HkXtTu,jùn,基本区)
蜡	(虫龷日,HkXjWr,là_qù_zhà,基本区)
蜢	(虫子皿,HkLgYz,měng,基本区)
蜣	(虫⺃,HkAsHu,qiāng,基本区)
蜤	(木斤虫,YqTnHk,sī,基本区)
蜥	(虫木斤,HkYqTn,xī,基本区)
蜦	(虫侖,HkGb,lún,基本区)
蜧	(虫户犬,HkUdRo,lì,基本区)
蜨	(虫一龰,HkFkQjHl,dié,基本区)
蜩	(虫土口,HkOdCkPr,tiáo,基本区)
蜪	(虫勹缶,HkKlUq,táo,基本区)
蜫	(虫日比,HkWrLq,kūn,基本区)
蜬	(虫𠄏凵,HkLdWjMd,hán,基本区)
蜭	(虫臼,HkNaBq,hàn,基本区)
蜮	(虫戈口一,HkGwPrFk,yù,基本区)
蜯	(虫,HkUdVl,bàng,基本区)
蜰	(月巴虫,JsSlHk,féi,基本区)
蜱	(虫卑,HkRk,pí,基本区)
蜲	(虫禾女,HkTuOu,wēi,基本区)
蜳	(虫子,HkCiLg,dūn,基本区)
蜴	(虫日丿,HkWrJzLb,yì,基本区)
蜵	(虫一,HkHwFk,yuān,基本区)
蜶	(虫亠从十,HkWwLcEo,suò,基本区)
蜷	(虫龹㔾,HkKbJf,quán,基本区)
蜸	(臣又虫,DnZnHk,qiǎn,基本区)
蜹	(虫艹内,HkQlKq,ruì,基本区)
蜺	(虫臼儿,HkBqDi,ní,基本区)
蜻	(虫龶,HkBpHz,qīng,基本区)
蜼	(虫隹,HkWf,wèi,基本区)
蜽	(虫一巾,HkFkSuLc,liǎng,基本区)
蜾	(虫果,HkMv,guǒ,基本区)
蜿	(虫宀夕㔾,HkDxQyJf,wān,基本区)
蝀	(虫,HkAkIg,dōng,基本区)
蝁	(亞虫,PaHk,è,基本区)
蝂	(虫片又,HkHwLsZn,bǎn,基本区)
蝃	(虫双双,HkZgZg,dì,基本区)
蝄	(虫冂䒑亡,HkOdRcLm,wǎng,基本区)
蝅	(天天虫,AkAkHk,cán,基本区)
蝆	(虫⻀𰀁,HkQlVl,mǐ,基本区)
蝇	(虫黾,HkWi,yíng,基本区)
蝈	(虫囗玉,HkXtJg,guō,基本区)
蝉	(虫丷旦丨,HkHdUwGp,chán,基本区)
蝊	(虫定,HkOt,dìng,基本区)
蝋	(虫,HkJpKxVl,là,基本区)
蝌	(虫禾斗,HkTuAd,kē,基本区)
蝍	(虫卩,HkIxJf,jí,基本区)
蝎	(虫曷,HkBl,xiē,基本区)
蝏	(虫丁,HkCiNa,tíng,基本区)
蝐	(虫目,HkQlFm,mào,基本区)
蝑	(虫疋,HkIfHz,xū,基本区)
蝒	(虫面,HkSf,mián,基本区)
蝓	(虫亼刂,HkAfHzRj,yú,基本区)
蝔	(虫比白,HkLqDh,jiē,基本区)
蝕	(飠虫,NnHk,shí,基本区)
蝖	(虫宀一旦,HkDxFkUw,xuān,基本区)
蝗	(虫白王,HkDhKs,huáng,基本区)
蝘	(虫匚日女,HkXmWrOu,yǎn,基本区)
蝙	(虫户,HkUdTe,biān,基本区)
蝚	(虫矛木,HkHcYq,róu,基本区)
蝛	(虫戊一女,HkQbFkOu,wēi,基本区)
蝜	(虫貝,HkNaMl,fù,基本区)
蝝	(虫彑,HkZjBy,yuán,基本区)
蝞	(虫目,HkZkFm,mèi,基本区)
蝟	(虫田,HkTyHz,wèi,基本区)
蝠	(虫田,HkAkTy,fú,基本区)
蝡	(虫而大,HkUiNf,ruǎn,基本区)
蝢	(虫頁,HkLd,xié,基本区)
蝣	(虫子,HkEzLg,yóu,基本区)
蝤	(虫酋,HkHx,qiú_yóu,基本区)
蝥	(矛攵虫,HcVjHk,máo,基本区)
蝦	(虫叚,HkTj,hā_xiā,基本区)
蝧	(虫艹大,HkQlOdNf,yīng,基本区)
蝨	(乛十虫虫,BmEoHkHk,shī,基本区)
蝩	(虫𡈼旦,HkFuUw,chóng,基本区)
蝪	(虫旦丿,HkUwJzLb,tāng,基本区)
蝫	(虫者,HkVn,zhū,基本区)
蝬	(虫凶八夂,HkMzAySp,zōng,基本区)
蝭	(虫是,HkJe,dì,基本区)
蝮	(虫日夂,HkNcWrSp,fù,基本区)
蝯	(虫爫一友,HkChFkAm,yuán,基本区)
蝰	(虫大圭,HkNfKa,kuí,基本区)
蝱	(亡虫虫,LmHkHk,méng,基本区)
蝲	(虫束刂,HkGuRj,là,基本区)
蝳	(虫龶母,HkBpSh,dài,基本区)
蝴	(虫古月,HkObJs,hú,基本区)
蝵	(禾火虫,TuXlHk,qiū,基本区)
蝶	(虫廿⺃木,HkXjHuYq,dié,基本区)
蝷	(虫广䒑䶹,HkFiRcMr,lì,基本区)
蝸	(虫咼,HkUv,wō,基本区)
蝹	(虫日皿,HkWrYz,yūn,基本区)
蝺	(虫丿口,HkLbPrTk,qǔ,基本区)
蝻	(虫十,HkEoOdAs,nǎn,基本区)
蝼	(虫娄,HkZp,lóu,基本区)
蝽	(虫日,HkUdWr,chūn,基本区)
蝾	(虫木,HkBmYq,róng,基本区)
蝿	(虫日电,HkWrZf,yíng,基本区)
螀	(丬夕寸虫,HwQyOfHk,jiāng,基本区)
螁	(虫艮辶,HkIxDf,tuì,基本区)
螂	(虫丶阝,HkMsIxEr,láng,基本区)
螃	(虫冖方,HkJkOdLj,páng,基本区)
螄	(虫一巾,HkUvFkSu,sī,基本区)
螅	(虫自心,HkCvVi,xī,基本区)
螆	(虫䒑幺幺,HkRcCpCp,cì,基本区)
螇	(虫爫幺大,HkChCpNf,qī_xī,基本区)
螈	(虫原,HkDe,yuán,基本区)
螉	(虫公羽,HkWhQu,wēng,基本区)
螊	(虫䒑,HkRcQjXl,lián,基本区)
螋	(虫臼丨又,HkBqGpZn,sōu,基本区)
螌	(舟殳虫,RgFnHk,bān,基本区)
融	(鬲虫,GnHk,róng,基本区)
螎	(虫鬲,HkGn,róng,基本区)
螏	(虫疒矢,HkWhLv,jí,基本区)
螐	(虫烏,HkAk,wū,基本区)
螑	(虫自犬,HkCvRo,xiù,基本区)
螒	(龺虫,TgGoHk,hàn,基本区)
螓	(虫禾,HkUdTu,qín,基本区)
螔	(虫虎,HkLsPt,yí,基本区)
螕	(虫囟比,HkZhLq,bī_pí,基本区)
螖	(虫骨,HkUv,huá,基本区)
螗	(虫唐,HkMf,táng,基本区)
螘	(虫山豆,HkBnXn,yǐ,基本区)
螙	(木虫虫,YqHkHk,dù,基本区)
螚	(厶匕匕虫,FiHzYsHk,nài_něng,基本区)
螛	(虫宀丰口,HkDxBpPr,hé_xiá,基本区)
螜	(殳虫,GlFnHk,hú,基本区)
螝	(虫鬼,HkJd,guì_huǐ,基本区)
螞	(虫馬,HkXt,mà_mǎ_mā,基本区)
螟	(虫冖日六,HkOdWrQt,míng,基本区)
螠	(虫皿,HkBkYz,yì,基本区)
螡	(文虫虫,HfHkHk,wén,基本区)
螢	(火火冖虫,XlXlOdHk,yíng,基本区)
螣	(月龹虫,JsKbHk,téng,基本区)
螤	(文虫日人,HfHkWrSk,zhōng,基本区)
螥	(虫亽口,HkAfZkPr,cāng,基本区)
螦	(虫龶糸,HkBpCp,sāo,基本区)
螧	(虫老日,HkPfWr,qí,基本区)
螨	(虫艹两,HkQlJc,mǎn,基本区)
螩	(虫夂朩,HkHsSpYq,dāo,基本区)
螪	(虫󰈯口,HkJkIePr,shāng,基本区)
螫	(土攵虫,CkXlVjHk,shì_zhē,基本区)
螬	(虫一曲日,HkFkNeWr,cáo,基本区)
螭	(虫㐫禸,HkMzTk,chī,基本区)
螮	(虫冖巾,HkUlOdSu,dì,基本区)
螯	(敖虫,ZvHk,áo,基本区)
螰	(虫鹿,HkDo,lù,基本区)
螱	(尸示寸虫,ZkThOfHk,wèi,基本区)
螲	(虫穴至,HkKgRn,dié_zhì,基本区)
螳	(虫土,HkSaCk,táng,基本区)
螴	(阝虫,ErAkIgHk,chén,基本区)
螵	(虫覀示,HkXgTh,piāo,基本区)
螶	(巨虫虫,OcHkHk,jù_qú,基本区)
螷	(广卑虫,FiRkHk,pí,基本区)
螸	(谷欠虫,LaKcHk,yú,基本区)
螹	(虫車斤,HkBmTn,chán_jiàn,基本区)
螺	(虫田糸,HkTyCp,luó,基本区)
螻	(虫女,HkKlOu,lóu,基本区)
螼	(虫革二,HkUeHt,qǐn,基本区)
螽	(夂虫虫,SpCdHkHk,zhōng,基本区)
螾	(虫宀一由八,HkDxFkAy,yǐn,基本区)
螿	(爿寸虫,HwMeOfHk,jiāng,基本区)
蟀	(虫亠幺十,HkWwCpEo,shuài,基本区)
蟁	(民虫虫,IcHkHk,wén,基本区)
蟂	(虫木,HkDwYq,xiāo,基本区)
蟃	(虫日罒又,HkWrDdZn,wàn,基本区)
蟄	(土丸虫,CkAsOhHk,zhé,基本区)
蟅	(虫灬,HkFiXl,zhè,基本区)
蟆	(虫莫,HkQk,má_mò,基本区)
蟇	(莫虫,QkHk,má,基本区)
蟈	(虫囗戈口一,HkXtGwFk,guō,基本区)
蟉	(虫羽彡,HkQuGoCd,liú,基本区)
蟊	(矛虫虫,HcHkHk,máo,基本区)
蟋	(虫釆心,HkRuVi,xī,基本区)
蟌	(虫囱心,HkZhVi,cōng,基本区)
蟍	(虫禾刂木,HkTuRjYq,lí,基本区)
蟎	(虫廿巾,HkXjSuLc,mǎn,基本区)
蟏	(虫艹⺺八,HkQlJaAy,xiāo,基本区)
蟐	(虫巾,HkSaSu,chán,基本区)
蟑	(虫立早,HkJkQf,zhāng,基本区)
蟒	(虫艹犬廾,HkQlRoQl,mǎng_měng,基本区)
蟓	(虫象,HkWp,xiàng,基本区)
蟔	(虫黑,HkGp,mò,基本区)
蟕	(虫此角,HkVoTj,zuī,基本区)
蟖	(虫其斤,HkKtTn,sī,基本区)
蟗	(出虫,GlJwHk,qiū,基本区)
蟘	(虫亻弋貝,HkIuWlMl,tè,基本区)
蟙	(虫音{戈无一},HkHrGw,zhí,基本区)
蟚	(壴彡虫,MtCdHk,péng,基本区)
蟛	(虫壴彡,HkMtCd,péng,基本区)
蟜	(虫夭口冂口,HkFoPrPr,jiǎo,基本区)
蟝	(虫氵巨木,HkMeOcYq,qú,基本区)
蟞	(㡀攵虫,FnVjHk,bié_biē,基本区)
蟟	(虫大丷日小,HkNfHdIg,liáo,基本区)
蟠	(虫釆田,HkRuTy,pán,基本区)
蟡	(虫爫灬,HkChDnXl,guǐ,基本区)
蟢	(虫壴口,HkMtPr,xǐ,基本区)
蟣	(虫幺幺戈人,HkCpCpSk,jǐ_qí,基本区)
蟤	(虫巳巳共,HkEwEwLi,zhuān,基本区)
蟥	(虫龷由八,HkXjKvAy,huáng,基本区)
蟦	(虫十艹貝,HkEoQlMl,bēn_fèi,基本区)
蟧	(虫火火冖力,HkXlXlSo,láo_liáo,基本区)
蟨	(厂䒑䶹欠虫,LsRcMrHk,jué,基本区)
蟩	(虫厂䒑䶹欠,HkLsRcKc,jué,基本区)
蟪	(虫心,HkBmVi,huì,基本区)
蟫	(虫覀早,HkXgQf,xún_yín,基本区)
蟬	(虫吅旦丨,HkYoUwGp,chán,基本区)
蟭	(虫隹灬,HkWfXl,jiāo,基本区)
蟮	(虫羊䒑口,HkAsRcPr,shàn,基本区)
蟯	(虫土土土兀,HkCkCkSe,náo,基本区)
蟰	(虫肀一,HkJaHwFk,xiāo,基本区)
蟱	(虫灬,HkBkXl,wú,基本区)
蟲	(虫虫虫,HkHkHk,chóng_tóng_zhòng,基本区)
蟳	(虫彐工口寸,HkQjIvOf,xún,基本区)
蟴	(其斤虫,KtTnHk,sī,基本区)
蟵	(虫厂豆寸,HkLsXnOf,chú,基本区)
蟶	(虫耳口王,HkUaPrKs,chēng,基本区)
蟷	(虫田,HkSaTy,dāng,基本区)
蟸	(豕虫虫,ByHkHk,lí,基本区)
蟹	(角刀牛虫,TjJzRsHk,xiè,基本区)
蟺	(虫亠囗口旦,HkWwXtUw,shàn,基本区)
蟻	(虫我,HkAsWj,jǐ_yǐ,基本区)
蟼	(艹句攵虫,QlNwVjHk,jǐng,基本区)
蟽	(虫土羊辶,HkCkAsDf,dá,基本区)
蟾	(虫厂八言,HkNaLsOk,chán,基本区)
蟿	(車凵殳虫,BmMdFnHk,qì,基本区)
蠀	(虫冫欠貝,HkWjKcMl,cī,基本区)
蠁	(乡丶阝虫,PcMsIxHk,xiǎng,基本区)
蠂	(虫艹廿⺃木,HkQlXjYq,shè,基本区)
蠃	(虫,YrHk,luǒ,基本区)
蠄	(虫㐫禸,HkGoMzTk,qín,基本区)
蠅	(虫彐,HkBtXzQj,yíng,基本区)
蠆	(艹日虫,QlWrTkHk,chài,基本区)
蠇	(虫艹日,HkQlWrTk,lì,基本区)
蠈	(貝戈虫,MlGwEoHk,zéi,基本区)
蠉	(虫罒,HkDdAkHi,xuān,基本区)
蠊	(虫广䒑,HkFiRcXl,lián,基本区)
蠋	(虫罒勹虫,HkDdKlHk,zhú,基本区)
蠌	(虫罒土,HkDdCkAs,zé,基本区)
蠍	(虫曷欠,HkBlKc,xiē,基本区)
蠎	(虫艹大十廾,HkQlNfQl,mǎng,基本区)
蠏	(虫角刀牛,HkTjJzRs,xiè,基本区)
蠐	(虫亠,HkWwZtPr,qí,基本区)
蠑	(虫火火冖木,HkXlXlYq,róng,基本区)
蠒	(巾爻爻虫,RcSuIqHk,jiǎn,基本区)
蠓	(虫一豕,HkBmFkBy,měng,基本区)
蠔	(虫豕,HkCiBy,háo,基本区)
蠕	(虫而,HkErUi,rú,基本区)
蠖	(虫艹隹又,HkQlWfZn,huò,基本区)
蠗	(虫羽隹,HkQuWf,zhuó,基本区)
蠘	(虫隹,HkRhWf,jié,基本区)
蠙	(虫宀一貝,HkDxFkMl,pín,基本区)
蠚	(艹口虫虫,QlEoPrHk,hē,基本区)
蠛	(虫艹罒戊丶,HkQlDdMs,miè,基本区)
蠜	(木爻木大虫,YqIqYqHk,fán,基本区)
蠝	(虫田田田,HkTyTyTy,lěi,基本区)
蠞	(卩虫,KhIxJfHk,jié,基本区)
蠟	(虫巛,HkPvUz,là,基本区)
蠠	(面虫虫,SfHkHk,mǐn,基本区)
蠡	(彑虫虫,ZjByHkHk,lí_lǐ,基本区)
蠢	(日虫虫,UdWrHkHk,chǔn,基本区)
蠣	(虫厂艹日,HkLsQlTk,lì,基本区)
蠤	(酋虫虫,HxHkHk,qiū,基本区)
蠥	(䶹辛虫,MrUvVcHk,niè,基本区)
蠦	(虫虍田皿,HkPtTyYz,lú,基本区)
蠧	(石虫虫,GlRaHkHk,dù,基本区)
蠨	(虫艹肀一,HkQlJaFk,xiāo,基本区)
蠩	(虫言者,HkOkVn,chú_zhū,基本区)
蠪	(立虫,JkHzDgHk,lóng,基本区)
蠫	(豸刂虫虫,ByRjHkHk,lí,基本区)
蠬	(虫立,HkJkHzDg,lóng,基本区)
蠭	(夂丰辶虫虫,SpBpDfHk,fēng_páng,基本区)
蠮	(虫匚矢殳羽,HkXmLvQu,yē,基本区)
蠯	(广卑虫虫,FiRkHkHk,pí,基本区)
蠰	(虫吅,HkHiYoXj,náng,基本区)
蠱	(虫虫虫皿,HkHkHkYz,gǔ,基本区)
蠲	(皿罒勹虫,BkYzDdHk,juān,基本区)
蠳	(虫貝貝女,HkMlMlOu,yīng,基本区)
蠴	(虫艹罒者,HkQlDdVn,shǔ,基本区)
蠵	(虫山隹󰈯口,HkBnWfPr,xī,基本区)
蠶	(旡旡日虫虫,RhRhWrHk,cán,基本区)
蠷	(虫目目隹,HkFmFmWf,qú,基本区)
蠸	(虫艹吅隹,HkQlYoWf,quán,基本区)
蠹	(石虫虫,GlRaHkHk,dù,基本区)
蠺	(天天日虫虫,AkAkWrHk,cán,基本区)
蠻	(龻虫,JjHk,mán,基本区)
蠼	(虫目目隹又,HkFmFmZn,qú,基本区)
蠽	(小隹戈虫虫,IgWfGwHk,jié,基本区)
蠾	(虫尸罒勹虫,HkZkBkHk,zhú,基本区)
蠿	(幺幺幺幺虫虫,CpCpCpHk,zhuó,基本区)
血	(血,Cu,xiě_xuè,基本区)
衁	(亡血,LmCu,huāng,基本区)
衂	(血刀丶,CuJzMs,nǜ,基本区)
衃	(血不,CuKe,pēi,基本区)
衄	(血乛,CuBmCk,nǜ,基本区)
衅	(血半,CuVq,xìn,基本区)
衆	(血乑,CuBy,zhòng_zhōng,基本区)
衇	(血,CuLsHi,mài,基本区)
衈	(血耳,CuUa,ěr,基本区)
衉	(血各,CuXc,kè,基本区)
衊	(血艹罒戊丶,CuQlDdMs,miè,基本区)
衋	(聿百百血,JaPiPiCu,xì,基本区)
行	(行,Ef,háng_héng_xíng,基本区)
衍	(行氵,EfMe,yǎn,基本区)
衎	(行干,EfYc,kàn,基本区)
衏	(行元,EfRl,yuàn,基本区)
衐	(行巨,EfOc,qú,基本区)
衑	(行今丶,EfGdMs,líng,基本区)
衒	(行亠幺,EfWwCp,xuàn,基本区)
術	(行木丶,EfYqMs,shù,基本区)
衔	(行钅,EfAl,xián,基本区)
衕	(行冂,EfOdAk,dòng_tòng,基本区)
衖	(行共,EfLi,lòng_xiàng,基本区)
街	(行圭,EfKa,jiē,基本区)
衘	(行,EfUq,xián,基本区)
衙	(行五口,EfIsPr,yá,基本区)
衚	(行古月,EfObJs,hú,基本区)
衛	(行韋,EfMb,wèi,基本区)
衜	(行首,EfFq,dào,基本区)
衝	(行𡈼旦,EfFuUw,chòng_chōng,基本区)
衞	(行口一巾,EfGhPrSu,wèi,基本区)
衟	(行巛丆目,EfPvZrFm,dào,基本区)
衠	(行直八,EfYdAy,zhūn,基本区)
衡	(行,EfKf,héng,基本区)
衢	(行目目隹,EfFmFmWf,qú,基本区)
衣	(衣,Hi,yī,基本区)
衤	(衤,Nq,yī,基本区)
补	(衤卜,NqPg,bǔ,基本区)
衦	(衤干,NqYc,gǎn,基本区)
衧	(衤一,NqFkEo,yú,基本区)
表	(龶,BpHi,biǎo,基本区)
衩	(衤又丶,NqZnMs,chà_chǎ,基本区)
衪	(衤也,NqXi,yì,基本区)
衫	(衤彡,NqCd,shān,基本区)
衬	(衤寸,NqOf,chèn,基本区)
衭	(衤夫,NqXm,fū,基本区)
衮	(公,HiWh,gǔn,基本区)
衯	(衤分,NqDj,fēn,基本区)
衰	(,HiQl,cuī_shuāi,基本区)
衱	(衤及,NqVk,jié,基本区)
衲	(衤内,NqKq,nà,基本区)
衳	(衤公,NqWh,zhōng,基本区)
衴	(衤冖儿,NqOdDi,dǎn,基本区)
衵	(衤日,NqWr,rì,基本区)
衶	(衤中,NqOg,zhòng,基本区)
衷	(中,HiOg,zhōng,基本区)
衸	(衤介,NqIe,jiè,基本区)
衹	(衤氏,NqOx,zhǐ,基本区)
衺	(牙,HiXh,xié,基本区)
衻	(衤冂二,NqOdHt,rán,基本区)
衼	(衤支,NqOi,zhī,基本区)
衽	(衤壬,NqFu,rèn,基本区)
衾	(今衣,GdHi,qīn,基本区)
衿	(衤今,NqGd,jīn,基本区)
袀	(衤勹冫,NqKlWj,jūn,基本区)
袁	(土口,CkPrHi,yuán,基本区)
袂	(衤夬,NqSf,mèi,基本区)
袃	(七刀衣,SjJzHi,chài,基本区)
袄	(衤夭,NqFo,ǎo,基本区)
袅	(衣,UcHi,niǎo,基本区)
袆	(衤韦,NqFy,huī,基本区)
袇	(衤丹,NqKj,rán,基本区)
袈	(力口衣,SoPrHi,jiā,基本区)
袉	(衤宀匕,NqDxYs,tuó_tuō,基本区)
袊	(衤今丶,NqGdMs,líng_lǐng,基本区)
袋	(亻弋衣,IuWlHi,dài,基本区)
袌	(包,HiOv,bào_páo_pào,基本区)
袍	(衤包,NqOv,páo,基本区)
袎	(衤幺力,NqCpSo,yào,基本区)
袏	(衤工,NqEoIv,zuò,基本区)
袐	(衤心丿,NqViLb,bì,基本区)
袑	(衤刀口,NqJzPr,shào,基本区)
袒	(衤旦,NqUw,tǎn,基本区)
袓	(衤且,NqAw,jiē_jù,基本区)
袔	(衤可,NqUr,hè_kè,基本区)
袕	(衤穴,NqKg,xué,基本区)
袖	(衤由,NqKv,xiù,基本区)
袗	(衤彡,NqGoCd,zhěn,基本区)
袘	(衤也,NqNcXi,yí_yì,基本区)
袙	(衤白,NqDh,pà,基本区)
袚	(衤友丶,NqAmMs,bō_fú,基本区)
袛	(衤氏丶,NqOxMs,dī,基本区)
袜	(衤末,NqMk,wà,基本区)
袝	(衤亻寸,NqIuOf,fù,基本区)
袞	(八口,HiAyPr,gǔn,基本区)
袟	(衤丿夫,NqLbXm,zhì,基本区)
袠	(丿夫,HiLbXm,zhì,基本区)
袡	(衤冉,NqMn,rán,基本区)
袢	(衤半,NqVq,pàn,基本区)
袣	(衤廿⺃,NqXjHu,yì,基本区)
袤	(矛,HiHc,mào,基本区)
袥	(衤石,NqRa,tuō,基本区)
袦	(衤出,NqJw,jué_nà,基本区)
袧	(衤句,NqNw,gōu,基本区)
袨	(衤亠幺,NqWwCp,xuàn,基本区)
袩	(衤占,NqJx,zhé,基本区)
袪	(衤去,NqGk,qū,基本区)
被	(衤皮,NqZs,bèi_pī,基本区)
袬	(厶口,HiFiPr,yù,基本区)
袭	(龙衣,TlHi,xí,基本区)
袮	(衤小,NqNcIg,mí,基本区)
袯	(衤发,NqSd,bó,基本区)
袰	(母衣,ShHi,bō,基本区)
袱	(衤亻犬,NqIuRo,fú,基本区)
袲	(多,HiDs,chǐ_nuǒ,基本区)
袳	(衤多,NqDs,chǐ_duǒ_nuǒ_qǐ,基本区)
袴	(衤大亏,NqNfGi,kù,基本区)
袵	(衤亻壬,NqIuFu,rèn,基本区)
袶	(衤夂㐄,NqSpGh,péng,基本区)
袷	(衤合,NqNv,jiá_jié_qiā,基本区)
袸	(衤子,NqArLg,jiàn_zùn,基本区)
袹	(衤百,NqPi,bó_mò,基本区)
袺	(衤士口,NqNxPr,jié,基本区)
袻	(衤而,NqUi,ér,基本区)
袼	(衤各,NqXc,gē,基本区)
袽	(衤女口,NqOuPr,rú,基本区)
袾	(衤丿未,NqLbEt,zhū,基本区)
袿	(衤圭,NqKa,guà_guī,基本区)
裀	(衤囗大,NqXtNf,yīn,基本区)
裁	(衣,RhHi,cái,基本区)
裂	(歹刂衣,NrRjHi,liè_liě,基本区)
裃	(衤上下,NqUxTk,kǎ,基本区)
裄	(衤行,NqEf,háng,基本区)
装	(丬士衣,HwNxHi,zhuāng,基本区)
裆	(衤彐,NqIgQj,dāng,基本区)
裇	(衤血,NqCu,xū,基本区)
裈	(衤冖车,NqOdEp,kūn,基本区)
裉	(衤艮,NqIx,kèn,基本区)
裊	(衣,DwHi,niǎo,基本区)
裋	(衤豆,NqXn,shù,基本区)
裌	(衤大从,NqNfLc,jiá,基本区)
裍	(衤囗木,NqXtYq,kǔn,基本区)
裎	(衤口王,NqPrKs,chéng_chěng,基本区)
裏	(里,HiGh,lǐ,基本区)
裐	(衤口,NqPrHz,juān,基本区)
裑	(衤身,NqFa,shēn,基本区)
裒	(臼,HiBq,póu,基本区)
裓	(衤戈廾,NqGwQl,gé_jiē,基本区)
裔	(衣󰈯口,HiIePr,yì,基本区)
裕	(衤谷,NqLa,yù,基本区)
裖	(衤辰,NqPj,zhěn,基本区)
裗	(衤㐬,NqPw,liú,基本区)
裘	(求衣,VuHi,qiú,基本区)
裙	(衤君,NqPd,qún,基本区)
裚	(扌斤衣,VlTnHi,jì,基本区)
裛	(邑,HiDv,yì,基本区)
